Summer,Site,Depth,Treatment,Trial Length,Trial_Length_Frame_Adjusted,VisitedTrial,Arrival_Frame,VisitedTube,ArrivalTime_Tube,Tube_Location_Time,DurationTube,MaxTube,TubeEnter,FrameEnter23,Notes
2023,8,Submerged,Octopus,900,211.073,Yes,688.927,Yes,710.48,21.553,52.935,1,7,4,
2023,1,Submerged,Squid,900,716.886,Yes,183.114,Yes,192.228,9.114,477.359,3,51,23,
2023,2,Submerged,Squid,900,804.502,Yes,95.498,Yes,348.632,253.134,161.629,2,12,25,
2023,3,Submerged,Squid,900,553.249,Yes,346.751,Yes,380.838,34.087,99.96,1,10,27,
2023,4,Submerged,Squid,900,866.816,Yes,33.184,Yes,54.987,21.803,176.846,2,25,24,
2023,5,Submerged,Squid,900,755.45,Yes,144.55,Yes,218.605,74.055,201.254,2,41,31,
2023,6,Submerged,Squid,900,576.336,Yes,323.664,Yes,333.488,9.824,13.312,0,1,2,
2023,7,Submerged,Squid,900,760,Yes,140,Yes,145.596,5.596,55.033,1,11,21,
2023,8,Submerged,Squid,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,1,Exposed,Anchovy,900,886.186,Yes,13.814,Yes,142.714,128.9,18.427,1,6,55,
2023,2,Exposed,Anchovy,900,859.504,Yes,40.496,Yes,531.598,491.102,80.999,2,8,34,
2023,3,Exposed,Anchovy,900,731.883,Yes,168.117,No,NA,NA,0,0,0,50,
2023,4,Exposed,Anchovy,900,819.641,Yes,80.359,Yes,93.497,13.138,24.949,1,3,31,
2023,5,Exposed,Anchovy,900,665.513,Yes,234.487,No,NA,NA,0,0,0,1,
2023,6,Exposed,Anchovy,900,318.251,Yes,581.749,Yes,598.625,16.876,9.692,1,3,18,
2023,7,Exposed,Anchovy,900,593.224,Yes,306.776,Yes,323.839,17.063,60.97,1,6,9,
2023,8,Exposed,Anchovy,900,787.139,Yes,112.861,Yes,546.911,434.05,5.92,1,1,30,
2023,1,Exposed,Control,900,475.4,Yes,424.6,No,NA,NA,0,0,0,1,
2023,2,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,3,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,4,Exposed,Control,900,360.557,Yes,539.443,Yes,768.729,229.286,7.242,1,4,5,
2023,5,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,6,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,7,Exposed,Control,900,743.105,Yes,156.895,No,NA,NA,0,0,0,2,
2023,8,Exposed,Control,900,NA,No,NA,No,NA,NA,NA,0,0,0,
2023,1,Exposed,Kelpbass,900,899.744,Yes,0.256,Yes,134.421,134.165,77.342,2,14,63,
2023,2,Exposed,Kelpbass,900,778.872,Yes,121.128,No,NA,NA,0,0,0,14,
2023,3,Exposed,Kelpbass,900,807.397,Yes,92.603,No,NA,NA,0,0,0,5,
2023,4,Exposed,Kelpbass,900,748.945,Yes,151.055,Yes,546.991,395.936,9.332,1,1,20,
2023,5,Exposed,Kelpbass,900,498.34,Yes,401.66,No,NA,NA,0,0,0,2,
2023,6,Exposed,Kelpbass,900,627.753,Yes,272.247,No,NA,NA,0,0,0,25,
2023,7,Exposed,Kelpbass,900,701.361,Yes,198.639,Yes,295.166,96.527,12.423,1,2,10,
2023,8,Exposed,Kelpbass,900,246.89,Yes,653.11,No,NA,NA,0,0,0,4,
2023,1,Exposed,Octopus,900,745.15,Yes,154.85,Yes,211.505,56.655,28.775,1,6,21,
2023,2,Exposed,Octopus,900,799.725,Yes,100.275,No,NA,NA,0,0,0,28,
2023,3,Exposed,Octopus,900,726.051,Yes,173.949,No,NA,NA,0,0,0,10,
2023,4,Exposed,Octopus,900,756.338,Yes,143.662,No,NA,NA,0,0,0,31,
2023,5,Exposed,Octopus,900,780.847,Yes,119.153,No,NA,NA,0,0,0,8,
2023,6,Exposed,Octopus,900,606.71,Yes,293.29,Yes,656.164,362.874,0.58,1,1,11,
2023,7,Exposed,Octopus,900,709.82,Yes,190.18,No,NA,NA,0,0,0,4,
2023,8,Exposed,Octopus,900,NA,No,NA,No,NA,NA,0,0,0,0,
2023,1,Exposed,Squid,900,867.32,Yes,32.68,Yes,94.74,62.06,14.682,1,7,60,
2023,2,Exposed,Squid,900,753.946,Yes,146.054,No,NA,NA,0,0,0,19,
2023,3,Exposed,Squid,900,644.362,Yes,255.638,Yes,845.309,589.671,5.841,1,3,3,
2023,4,Exposed,Squid,900,853.228,Yes,46.772,Yes,258.722,211.95,1.503,1,1,11,
2023,5,Exposed,Squid,900,653.353,Yes,246.647,Yes,805.959,559.312,1.65,1,1,51,
2023,6,Exposed,Squid,900,684.228,Yes,215.772,Yes,617.642,401.87,34.737,1,3,16,
2023,7,Exposed,Squid,900,371.542,Yes,528.458,No,NA,NA,0,0,0,4,
2023,8,Exposed,Squid,900,NA,No,NA,No,NA,NA,NA,0,0,0,
